season,celebrity_name,rule,predicted_placement,placement
17,Christina Milian,rank,9,9
17,"Nicole ""Snooki"" Polizzi",rank,8,8
17,Brant Daugherty,rank,7,7
17,Elizabeth Berkley Lauren,rank,6,6
17,Leah Remini,rank,5,5
17,Corbin Bleu,rank,1,2
17,Bill Engvall,rank,1,4
17,Amber Riley,rank,1,1
17,Jack Osbourne,rank,1,3
17,Keyshawn Johnson,percent,12,12
17,Bill Nye,percent,11,11
17,Valerie Harper,percent,10,10
17,Christina Milian,percent,9,9
17,"Nicole ""Snooki"" Polizzi",percent,8,8
17,Brant Daugherty,percent,7,7
17,Elizabeth Berkley Lauren,percent,6,6
17,Leah Remini,percent,5,5
17,Corbin Bleu,percent,1,2
17,Bill Engvall,percent,1,4
17,Amber Riley,percent,1,1
17,Jack Osbourne,percent,1,3
18,Diana Nyad,fair,12,12
18,Billy Dee Williams,fair,11,10
18,Sean Avery,fair,10,11
18,Cody Simpson,fair,9,9
18,Drew Carey,fair,8,8
18,NeNe Leakes,fair,7,7
18,Danica McKellar,fair,6,6
18,Charlie White,fair,5,5
18,James Maslow,fair,1,4
18,Candace Cameron Bure,fair,1,3
18,Amy Purdy,fair,1,2
18,Meryl Davis,fair,1,1
18,Diana Nyad,rank,12,12
18,Sean Avery,rank,11,11
18,Billy Dee Williams,rank,10,10
18,Cody Simpson,rank,9,9
18,Drew Carey,rank,8,8
18,NeNe Leakes,rank,7,7
18,Danica McKellar,rank,6,6
18,Charlie White,rank,5,5
18,James Maslow,rank,1,4
18,Candace Cameron Bure,rank,1,3
18,Amy Purdy,rank,1,2
18,Meryl Davis,rank,1,1
18,Diana Nyad,percent,12,12
18,Billy Dee Williams,percent,11,10
18,Sean Avery,percent,10,11
18,Cody Simpson,percent,9,9
18,Drew Carey,percent,8,8
18,NeNe Leakes,percent,7,7
18,Danica McKellar,percent,6,6
18,Charlie White,percent,5,5
18,James Maslow,percent,1,4
18,Candace Cameron Bure,percent,1,3
18,Amy Purdy,percent,1,2
18,Meryl Davis,percent,1,1
19,Lolo Jones,fair,13,13
19,Tavis Smiley,fair,12,12
19,Randy Couture,fair,11,11
19,Betsey Johnson,fair,10,10
19,Jonathan Bennett,fair,9,9
19,Antonio Sabato Jr.,fair,8,8
19,Michael Waltrip,fair,7,7
19,Lea Thompson,fair,6,6
19,Tommy Chong,fair,5,5
19,Sadie Robertson,fair,1,2
19,Janel Parrish,fair,1,3
19,Alfonso Ribeiro,fair,1,1
19,Bethany Mota,fair,1,4
19,Lolo Jones,rank,13,13
19,Tavis Smiley,rank,12,12
19,Randy Couture,rank,11,11
19,Betsey Johnson,rank,10,10
19,Jonathan Bennett,rank,9,9
19,Antonio Sabato Jr.,rank,8,8
19,Michael Waltrip,rank,7,7
19,Lea Thompson,rank,6,6
19,Tommy Chong,rank,5,5
19,Sadie Robertson,rank,1,2
19,Janel Parrish,rank,1,3
19,Alfonso Ribeiro,rank,1,1
19,Bethany Mota,rank,1,4
19,Lolo Jones,percent,13,13
19,Tavis Smiley,percent,12,12
19,Randy Couture,percent,11,11
19,Betsey Johnson,percent,10,10
19,Jonathan Bennett,percent,9,9
19,Antonio Sabato Jr.,percent,8,8
19,Michael Waltrip,percent,7,7
19,Lea Thompson,percent,6,6
19,Tommy Chong,percent,5,5
19,Sadie Robertson,percent,1,2
19,Janel Parrish,percent,1,3
19,Alfonso Ribeiro,percent,1,1
19,Bethany Mota,percent,1,4
20,Redfoo,fair,12,12
20,Charlotte McKinney,fair,11,11
20,Michael Sam,fair,10,10
20,Suzanne Somers,fair,9,9
20,Patti LaBelle,fair,8,8
20,Willow Shields,fair,7,7
20,Robert Herjavec,fair,6,6
20,Chris Soules,fair,5,5
20,Nastia Liukin,fair,4,4
20,Rumer Willis,fair,1,1
20,Noah Galloway,fair,1,3
20,Riker Lynch,fair,1,2
20,Redfoo,rank,12,12
